STATION,lat,lon,wiki
WHITEHALL STREET,40.7025,-74.0128,https://en.wikipedia.org/wiki/South_Ferry/Whitehall_Street_(New_York_City_Subway)
CYPRESS HILLS,40.68972,-73.87306,https://en.wikipedia.org/wiki/Cypress_Hills_(BMT_Jamaica_Line)
75TH STREET & ELDERTS LANE,40.691427,-73.866572,https://en.wikipedia.org/wiki/75th_Avenue_(IND_Queens_Boulevard_Line)
85TH STREET & FOREST PKWAY,40.7806,-73.9604,https://en.wikipedia.org/wiki/85th_Street_(Manhattan)
WOODHAVEN BOULEVARD,40.693931,-73.851418,https://en.wikipedia.org/wiki/Woodhaven_Boulevard_station_(BMT_Jamaica_Line)
104TH STREET,40.695184,-73.843231,https://en.wikipedia.org/wiki/104th_Street_(BMT_Jamaica_Line)
111TH STREET,40.697351,-73.836348,https://en.wikipedia.org/wiki/111th_Street_station_(BMT_Jamaica_Line)
121ST STREET,40.700357,-73.82894,https://en.wikipedia.org/wiki/121st_Street_(BMT_Jamaica_Line)
42ND STREET & 8TH AVENUE,40.75724,-73.9898,
34TH STREET & 8TH AVENUE,40.752164,-73.993672,
FULTON STREET,40.7102056,-74.0077444,https://en.wikipedia.org/wiki/Fulton_Street_(New_York_City_Subway)
FIFTH AVENUE,40.764779,-73.972621,https://en.wikipedia.org/wiki/Fifth_Avenue%E2%80%9359th_Street_(BMT_Broadway_Line)
LEXINGTON AVENUE,40.75773,-73.969082,https://en.wikipedia.org/wiki/Lexington_Avenue%E2%80%9363rd_Street_(63rd_Street_lines)
ROOSEVELT AVE/JACKSON HTS,40.74667,-73.89111,https://en.wikipedia.org/wiki/Jackson_Heights%E2%80%93Roosevelt_Avenue/74th_Street_(New_York_City_Subway)
179TH STREET & HILLSIDE AVE,40.712459,-73.78448,https://en.wikipedia.org/wiki/Jamaica%E2%80%93179th_Street_(IND_Queens_Boulevard_Line)
47-50 STREETS/ROCKEFELLER,40.758603,-73.981376,https://en.wikipedia.org/wiki/47th%E2%80%9350th_Streets%E2%80%93Rockefeller_Center_(IND_Sixth_Avenue_Line)
42ND STREET & 6TH AVENUE,40.754848,-73.9841,
34TH STREET & 6TH AVENUE,40.749786,-73.987753,
SUTPHIN BOULEVARD,40.700488,-73.80774,https://en.wikipedia.org/wiki/Sutphin_Boulevard%E2%80%93Archer_Avenue%E2%80%93JFK_Airport_(Archer_Avenue_lines)
JAMAICA CENTER-PARSONS BLVD,40.702407,-73.799973,https://en.wikipedia.org/wiki/Jamaica_Center%E2%80%93Parsons/Archer_(Archer_Avenue_lines)
WALL STREET,40.706311,-74.009528,https://en.wikipedia.org/wiki/Wall_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
FULTON & WILLIAM STREETS,40.709576,-74.006463,
